Sample no.,wp_seedweight,wp_winglength,wp_droptime,rm_seedweight,rm_winglength,rm_droptime,gs_shelldiameter,gs_bandnumber,gs_bandwidth,apf_shelllength,apf_shellwidth,apf_lipthick,sj_toothheight,sj_toothlength,sj_rowlength,sj_mandheight,s1_largelength,s2_largelength,s1_smalllength,s2_smalllength,s1_largepal,s2_largepal,s1_smallpal,s2_smallpal,s1_largepadp,s2_largepadp,s1_smallpadp,s2_smallpadp
,0.009,10.87,2.71,0.0501,24.08,1.23,20.51,5,2.58,60.99,23.05,5.75,7.72,7.99,63.48,25.1,68.92,69.32,38.26,33.33,4.16,5.34,3.14,2.54,17.28,16.5,11.24,8.38
,0.008,10.51,2.53,0.0634,27.46,1.38,19.85,5,2.88,53.56,24.85,7.15,6.55,7.08,50.03,17.28,68.29,66.62,36.07,36.45,4.39,5.24,2.3,2.24,18.06,18.31,8.36,9.19
,0.0061,10.02,2.55,0.0898,26.52,1.16,20.04,4,2.53,55.62,32.83,4.06,6.45,6.55,54.86,16.1,61.98,58.01,36.13,29.98,3.61,3.65,3.41,2,17.23,14.8,9,7.5
,0.0039,9.54,3.01,0.0529,25.09,1.31,19.6,5,2.18,56.5,29.71,4.26,6.84,6.61,50.01,18.8,54.92,53.34,33.17,21.61,4.57,5.23,2.92,1.5,13.37,16.12,8.36,5.32
,0.0082,10.18,2.59,0.0951,25.57,1.51,21.04,11,2.67,43.16,33.69,6.07,6.52,6.63,53.49,18.85,64.72,66.2,50.59,52.48,3.03,3.39,1.33,3.83,12.88,19.56,15.33,16.27
,0.0106,10.47,2.17,0.0954,27.18,1.83,21.42,11,2.73,52.56,36.29,5.1,5.4,7.24,58.26,22.62,58.32,69.23,52.68,53.86,2.79,4.37,1.5,3.4,19.85,17.82,14.5,13.46
,0.0085,10.45,2.67,0.0871,30.33,1.76,21.3,9,3.28,29.47,12.9,0,6.15,6.99,52.03,19.66,51.69,57.86,27.69,27.25,1.9,4.49,0.61,1.71,17.17,16,6.88,6.25
,0.0027,9.82,1.36,0.0823,27.43,1.78,20.75,9,1.87,49.92,35.36,6.72,6.92,7.58,51.67,20.42,82.13,83.97,33.24,31.31,2.39,4.97,1.27,2.99,23.02,23.68,8.94,8.11
,0.0101,10.89,1.71,0.0425,18.97,1.24,21.27,10,2.1,48.49,35.07,5.48,6.82,6.21,57.88,20.76,79.23,76.8,42.06,41.47,3.49,5.09,2.07,2.56,20.25,22.79,13.32,11.69
,0.0044,21.8,3.09,0.1017,30.53,1.38,20.5,5,2.75,45.06,31.32,4.71,4.1,6.63,50.37,15.33,79.56,79.1,33.16,33.57,3.12,4.17,1.13,0.76,18.71,20.93,10.75,12.14
